speaker,file,label,release,voi_onset,consonant
s05,105-5aji,tS,0.33827664399093,0.492675736961451,tʃ
s05,107-gjaku,J,0.357324263038549,0.259478458049887,d̻ʒ̻
s05,113-tapa,t,0.299501133786848,0.34687074829932,t
s05,115-gati,g,0.30172335600907,0.152879818594104,ɡ
s05,120-bari,b,0.289727891156463,0.162925170068027,b
s05,123-cica,ts,0.283333333333333,0.356916099773243,ts
s06,003-xhaja,dZ,0.551179138321996,0.45562358276644,dʒ
s06,004-xixa,dz,0.52968253968254,0.444081632653061,dz
s06,005-gjaku,J,0.492947845804989,0.388979591836735,d̻ʒ̻
s06,010-data,d,0.488548752834467,0.387596371882086,d
s06,020-bari,b,0.556553287981859,0.47530612244898,b
s06,021-5aji,tS,0.524784580498866,0.600340136054422,tʃ
s06,022-gati,g,0.722086167800454,0.618866213151928,ɡ
s06,024-kati,k,0.509727891156463,0.540997732426304,k
s06,025-cica,ts,0.440362811791383,0.518730158730159,ts
s06,030-pata,p,0.458684807256236,0.47328798185941,p
s06,032-tapa,t,0.545487528344671,0.557800453514739,t
s06,033-qava,c,0.547165532879819,0.609614512471655,t̻ʃ̻
s06,045-xhaja,dZ,0.497414965986395,0.404489795918367,dʒ
s06,046-xixa,dz,0.496689342403628,0.396439909297052,dz
s06,047-gjaku,J,0.710997732426304,0.625215419501134,d̻ʒ̻
s06,052-data,d,0.519387755102041,0.414036281179138,d
s06,062-bari,b,0.605328798185941,0.522539682539683,b
s06,063-5aji,tS,0.579773242630385,0.654331065759637,tʃ
s06,064-gati,g,0.469591836734694,0.382312925170068,ɡ
s06,066-kati,k,0.457142857142857,0.498798185941043,k
s06,067-cica,ts,0.568390022675737,0.629659863945578,ts
s06,072-pata,p,0.429047619047619,0.440952380952381,p
s06,074-tapa,t,0.569478458049887,0.583219954648526,t
s06,075-qava,c,0.692562358276644,0.759138321995465,t̻ʃ̻
s06,087-xhaja,dZ,0.413968253968254,0.320090702947846,dʒ
s06,088-xixa,dz,0.527278911564626,0.426984126984127,dz
s06,089-gjaku,J,0.570702947845805,0.498185941043084,d̻ʒ̻
s06,094-data,d,0.565351473922903,0.474761904761905,d
s06,104-bari,b,0.474331065759637,0.410385487528345,b
s06,105-5aji,tS,1.66356009070295,1.72605442176871,tʃ
s06,106-gati,g,0.450839002267574,0.346780045351474,ɡ
s06,108-kati,k,0.406530612244898,0.447097505668934,k
s06,109-cica,ts,0.570884353741497,0.656734693877551,ts
s06,114-pata,p,0.361904761904762,0.375804988662132,p
s06,116-tapa,t,0.499251700680272,0.512040816326531,t
s06,117-qava,c,0.837301587301587,0.897913832199547,t̻ʃ̻
