dyad,background,months,task,gesture,count_raw,count,ct_raw,ct,pro_rata,id
b11,Bengali,12,tp2,reach,0,0,0,0,no,99
b11,Bengali,12,tp2,point,0,0,0,0,no,98
b11,Bengali,12,tp2,ho_gv,15,15,2,2,no,97
b12,Bengali,10,five,reach,2,2,0,0,no,102
b12,Bengali,10,five,point,0,0,0,0,no,101
b12,Bengali,10,five,ho_gv,0,0,0,0,no,100
b12,Bengali,10,tp1,reach,0,0,0,0,no,105
b12,Bengali,10,tp1,point,0,0,0,0,no,104
b12,Bengali,10,tp1,ho_gv,0,0,0,0,no,103
b12,Bengali,10,tp2,reach,0,0,0,0,no,108
b12,Bengali,10,tp2,point,0,0,0,0,no,107
b12,Bengali,10,tp2,ho_gv,0,0,0,0,no,106
b12,Bengali,11,five,reach,4,4,1,1,no,102
b12,Bengali,11,five,point,12,12,2,2,no,101
b12,Bengali,11,five,ho_gv,0,0,0,0,no,100
b12,Bengali,11,tp1,reach,0,0,0,0,no,105
b12,Bengali,11,tp1,point,6,6,1,1,no,104
b12,Bengali,11,tp1,ho_gv,16,16,0,0,no,103
b12,Bengali,11,tp2,reach,0,0,0,0,no,108
b12,Bengali,11,tp2,point,0,0,0,0,no,107
b12,Bengali,11,tp2,ho_gv,17,17,1,1,no,106
b12,Bengali,12,five,reach,2,2,NA,NA,no,102
b12,Bengali,12,five,point,8,8,NA,NA,no,101
b12,Bengali,12,five,ho_gv,0,0,NA,NA,no,100
b12,Bengali,12,tp1,reach,1,1,0,0,no,105
b12,Bengali,12,tp1,point,3,3,0,0,no,104
b12,Bengali,12,tp1,ho_gv,6,6,0,0,no,103
b12,Bengali,12,tp2,reach,0,0,0,0,yes,108
b12,Bengali,12,tp2,point,0,0,0,0,yes,107
b12,Bengali,12,tp2,ho_gv,3,4,0,0,yes,106
b13,Bengali,10,five,reach,9,10,0,0,yes,111
b13,Bengali,10,five,point,1,2,0,0,yes,110
b13,Bengali,10,five,ho_gv,0,0,0,0,yes,109
b13,Bengali,10,tp1,reach,0,0,0,0,no,114
b13,Bengali,10,tp1,point,0,0,0,0,no,113
b13,Bengali,10,tp1,ho_gv,1,1,0,0,no,112
b13,Bengali,10,tp2,reach,0,0,0,0,no,117
b13,Bengali,10,tp2,point,0,0,0,0,no,116
b13,Bengali,10,tp2,ho_gv,0,0,0,0,no,115
b13,Bengali,11,five,reach,10,10,0,0,no,111
b13,Bengali,11,five,point,0,0,0,0,no,110
b13,Bengali,11,five,ho_gv,0,0,0,0,no,109
b13,Bengali,11,tp1,reach,0,0,0,0,no,114
b13,Bengali,11,tp1,point,0,0,0,0,no,113
b13,Bengali,11,tp1,ho_gv,5,5,0,0,no,112
b13,Bengali,11,tp2,reach,0,0,0,0,no,117
b13,Bengali,11,tp2,point,0,0,0,0,no,116
b13,Bengali,11,tp2,ho_gv,0,0,0,0,no,115
b13,Bengali,12,five,reach,3,3,0,0,no,111
b13,Bengali,12,five,point,1,1,0,0,no,110
b13,Bengali,12,five,ho_gv,0,0,0,0,no,109
b13,Bengali,12,tp1,reach,0,0,0,0,no,114
b13,Bengali,12,tp1,point,3,3,0,0,no,113
b13,Bengali,12,tp1,ho_gv,11,11,0,0,no,112
b13,Bengali,12,tp2,reach,0,0,0,0,no,117
b13,Bengali,12,tp2,point,0,0,0,0,no,116
b13,Bengali,12,tp2,ho_gv,10,10,0,0,no,115
b14,Bengali,10,five,reach,1,1,0,0,no,120
b14,Bengali,10,five,point,0,0,0,0,no,119
b14,Bengali,10,five,ho_gv,0,0,0,0,no,118
b14,Bengali,10,tp1,reach,0,0,0,0,no,123
b14,Bengali,10,tp1,point,0,0,0,0,no,122
b14,Bengali,10,tp1,ho_gv,0,0,0,0,no,121
b14,Bengali,10,tp2,reach,0,0,0,0,no,126
b14,Bengali,10,tp2,point,0,0,0,0,no,125
b14,Bengali,10,tp2,ho_gv,0,0,0,0,no,124
b14,Bengali,11,five,reach,7,7,0,0,no,120
b14,Bengali,11,five,point,19,19,3,3,no,119
b14,Bengali,11,five,ho_gv,0,0,0,0,no,118
b14,Bengali,11,tp1,reach,0,0,0,0,no,123
b14,Bengali,11,tp1,point,0,0,0,0,no,122
b14,Bengali,11,tp1,ho_gv,0,0,0,0,no,121
b14,Bengali,11,tp2,reach,0,0,0,0,no,126
b14,Bengali,11,tp2,point,0,0,0,0,no,125
b14,Bengali,11,tp2,ho_gv,3,3,0,0,no,124
b14,Bengali,12,five,reach,4,4,0,0,no,120
b14,Bengali,12,five,point,3,3,0,0,no,119
b14,Bengali,12,five,ho_gv,0,0,0,0,no,118
b14,Bengali,12,tp1,reach,0,0,0,0,no,123
b14,Bengali,12,tp1,point,0,0,0,0,no,122
b14,Bengali,12,tp1,ho_gv,12,12,0,0,no,121
b14,Bengali,12,tp2,reach,0,0,0,0,no,126
b14,Bengali,12,tp2,point,0,0,0,0,no,125
b14,Bengali,12,tp2,ho_gv,12,12,0,0,no,124
b15,Bengali,10,five,reach,0,0,0,0,no,129
b15,Bengali,10,five,point,0,0,0,0,no,128
b15,Bengali,10,five,ho_gv,0,0,0,0,no,127
b15,Bengali,10,tp1,reach,1,1,0,0,no,132
b15,Bengali,10,tp1,point,0,0,0,0,no,131
b15,Bengali,10,tp1,ho_gv,3,3,0,0,no,130
b15,Bengali,10,tp2,reach,0,0,0,0,no,135
b15,Bengali,10,tp2,point,0,0,0,0,no,134
b15,Bengali,10,tp2,ho_gv,2,2,0,0,no,133
b15,Bengali,11,five,reach,0,0,0,0,no,129
b15,Bengali,11,five,point,1,1,0,0,no,128
b15,Bengali,11,five,ho_gv,0,0,0,0,no,127
b15,Bengali,11,tp1,reach,0,0,0,0,no,132
b15,Bengali,11,tp1,point,0,0,0,0,no,131
b15,Bengali,11,tp1,ho_gv,11,11,0,0,no,130
b15,Bengali,11,tp2,reach,0,0,0,0,no,135
b15,Bengali,11,tp2,point,0,0,0,0,no,134
b15,Bengali,11,tp2,ho_gv,3,3,0,0,no,133
b15,Bengali,12,five,reach,3,3,0,0,no,129
b15,Bengali,12,five,point,1,1,0,0,no,128
b15,Bengali,12,five,ho_gv,0,0,0,0,no,127
b15,Bengali,12,tp1,reach,0,0,0,0,no,132
b15,Bengali,12,tp1,point,0,0,0,0,no,131
b15,Bengali,12,tp1,ho_gv,22,22,0,0,no,130
