Subject,Procedure,Version,Contrast,Item,Condition,WordL,WordR,Words.ACC,Words.RT
14,TrialProc,A1,LR,14,Control,EJECT,UPRIGHT,0,8506
14,TrialProc,B2,F,114,Unrelated,ROOM,PAUSE,1,3683
14,TrialProc,B1,F,77,Related,LAUGH,JOKE,1,4245
14,TrialProc,B1,LR,10,Control,CHAP,APPLAUD,1,14947
14,TrialProc,B1,F,83,Related,QUESTION,ANSWER,1,1789
14,TrialProc,B2,F,116,Unrelated,DOOR,SPEAK,1,3368
14,TrialProc,A1,LR,2,Control,MATE,HEART,1,5411
14,TrialProc,B1,F,88,Related,TEA,COFFEE,1,935
14,TrialProc,A1,F,4,Related,BUS,LORRY,1,1935
14,TrialProc,A2,LR,3,Unrelated,COOKED,LAW,1,4623
14,TrialProc,B2,F,120,Related,WORLD,GLOBE,1,4494
14,TrialProc,B1,F,90,Unrelated,UP,BLACK,1,2166
14,TrialProc,A2,H,13,Control,PRODUCED,MAIN,1,4893
14,TrialProc,B1,F,72,Related,HATE,LOVE,1,2094
14,TrialProc,B1,F,79,Related,LION,TIGER,1,1950
14,TrialProc,B1,LR,11,Unrelated,RACK,MISSING,1,2619
14,TrialProc,B2,F,100,Related,KNIFE,FORK,0,15422
14,TrialProc,B2,F,104,Related,MOUSE,RAT,1,44405
14,TrialProc,B1,H,12,Unrelated,FLOWER,BAKE,1,7921
14,TrialProc,B1,F,68,Related,CRY,TEARS,1,1899
14,TrialProc,B2,F,115,Related,STUDENT,LEARN,1,2977
14,TrialProc,B2,PB,13,Control,HOLE,WIT,1,9039
14,TrialProc,B1,F,67,Related,COUGH,SNEEZE,1,3512
14,TrialProc,A2,F,39,Related,HOT,COLD,1,9636
14,TrialProc,A2,LR,6,Unrelated,TORN,LIP,0,8143
14,TrialProc,B1,F,89,Unrelated,THICK,PASS,1,5895
14,TrialProc,A1,F,1,Related,ADD,SUBTRACT,1,15042
14,TrialProc,A2,LR,17,Control,WATER,SANE,1,4943
14,TrialProc,B1,F,75,Related,HOUSE,HOME,1,2144
14,TrialProc,A2,F,32,Related,TREE,LEAF,1,8202
14,TrialProc,B2,PB,20,Unrelated,EQUAL,BEER,1,2874
14,TrialProc,A2,F,33,Related,CABBAGE,VEGETABLE,1,7075
14,TrialProc,A1,F,9,Related,FAST,SLOW,1,4796
14,TrialProc,B2,LR,19,Control,PASSION,DUST,1,3127
14,TrialProc,A1,F,20,Related,OVEN,KITCHEN,1,2006
14,TrialProc,B2,F,101,Related,LIBRARY,BOOKS,1,3258
14,TrialProc,A2,PB,9,Unrelated,GROWL,PARK,0,9697
14,TrialProc,A2,F,35,Related,NORTH,WEST,1,1951
14,TrialProc,B1,F,87,Unrelated,SIGN,HEAD,1,6329
14,TrialProc,B1,LR,12,Control,TAG,BEHIND,1,11499
14,TrialProc,B1,F,74,Related,HOUR,MINUTE,1,1667
14,TrialProc,A2,F,49,Related,BOWL,DISH,1,5770
14,TrialProc,B1,H,16,Control,WEAR,MONTH,1,2372
14,TrialProc,A1,F,28,Related,SWEET,BITTER,1,1767
14,TrialProc,A2,F,47,Related,PICK,CHOOSE,1,2178
14,TrialProc,B2,H,1,Unrelated,WHEEL,BREAK,1,2484
14,TrialProc,B1,F,61,Unrelated,AIR,UNDO,1,4155
14,TrialProc,B2,F,109,Unrelated,DAWN,COST,1,11678
14,TrialProc,B1,F,71,Related,FOOL,IDIOT,1,1852
14,TrialProc,A1,F,3,Related,BRIDE,WEDDING,1,14440
14,TrialProc,A2,PB,14,Control,BIRD,LEAK,1,6387
14,TrialProc,A2,F,42,Related,MOVIE,FILM,1,2293
14,TrialProc,B1,F,84,Related,READ,WRITE,1,1289
14,TrialProc,B2,LR,16,Control,KNEE,MAP,1,2020
14,TrialProc,A2,F,57,Related,VILLAGE,TOWN,1,2500
14,TrialProc,B2,F,98,Unrelated,WAVE,WEAPON,1,4050
14,TrialProc,A1,LR,15,Control,SONG,MISTAKE,1,2545
14,TrialProc,A1,F,24,Related,RICH,WEALTHY,1,7568
14,TrialProc,A1,F,11,Related,FIRE,BURN,1,2147
14,TrialProc,B2,PB,8,Control,MONEY,SAY,1,1286
14,TrialProc,A1,F,2,Related,BRAIN,MIND,1,4408
14,TrialProc,B2,F,110,Unrelated,OVER,HURRY,1,4736
14,TrialProc,A1,PB,5,Control,DIG,SMALL,1,2934
14,TrialProc,A2,F,34,Related,TONGUE,TEETH,1,3993
14,TrialProc,B2,F,94,Related,EXAM,TEST,1,1462
14,TrialProc,A2,H,11,Control,HIPS,TASTE,1,5672
14,TrialProc,B2,F,118,Unrelated,SKILL,CLIMATE,1,3861
14,TrialProc,A1,F,17,Related,LOUD,QUIET,1,8814
14,TrialProc,B2,LR,1,Unrelated,STAMPS,CORRECT,1,3630
14,TrialProc,B1,F,81,Unrelated,OWE,PIGEON,1,6484
14,TrialProc,A2,F,59,Related,BROAD,"NARROW",1,4907
14,TrialProc,A1,PB,15,Unrelated,PULL,COW,0,11513
14,TrialProc,B2,F,96,Related,FIRST,LAST,1,7656
14,TrialProc,B1,F,66,Unrelated,COAT,WILL,1,4267
14,TrialProc,B2,H,3,Unrelated,BEEF,MEET,1,2459
14,TrialProc,B2,F,103,Related,MOTHER,FATHER,1,3238
14,TrialProc,A1,F,18,Related,"NATION",COUNTRY,1,3792
14,TrialProc,A2,PB,6,Unrelated,PAW,PEAR,1,10539
14,TrialProc,B1,F,73,Unrelated,HOLIDAY,OTHER,1,1841
14,TrialProc,A2,F,50,Related,SALMON,FISH,1,2873
14,TrialProc,B1,LR,18,Unrelated,CROWD,SKY,1,2399
14,TrialProc,A1,F,5,Related,CLOTHES,SHIRTS,1,7158
14,TrialProc,A1,F,15,Related,KING,QUEEN,1,1448
14,TrialProc,B1,LR,4,Unrelated,RIGHT,DARK,1,3127
14,TrialProc,B2,F,108,Related,PAST,FUTURE,1,3947
14,TrialProc,A2,F,46,Related,PIANO,INSTRUMENT,1,11958
14,TrialProc,A1,LR,20,Unrelated,LOAD,STREET,1,2324
14,TrialProc,A1,F,27,Related,START,END,1,1791
14,TrialProc,B1,F,62,Unrelated,ATTACK,WOOL,1,2274
14,TrialProc,B2,H,6,Control,CURE,HELL,1,3559
14,TrialProc,B2,F,111,Related,SLEEP,DREAM,1,1826
14,TrialProc,B2,F,93,Unrelated,DROP,AWARD,1,5153
14,TrialProc,A1,H,20,Control,HEIR,THERE,1,3572
14,TrialProc,A1,F,6,Related,COMB,HAIR,1,5113
14,TrialProc,B1,F,64,Unrelated,CHANCE,SOUTH,1,2338
14,TrialProc,A2,LR,8,Control,BANK,DIVER,1,7081
14,TrialProc,A2,F,44,Related,PARENT,CHILD,1,3396
14,TrialProc,B1,F,78,Unrelated,LIFE,HAT,1,1668
14,TrialProc,A1,LR,5,Unrelated,LOCK,HARD,1,3464
14,TrialProc,A1,F,8,Related,EAT,HUNGER,1,9391
14,TrialProc,B2,F,95,Related,FILTH,DIRT,1,5961
14,TrialProc,B2,H,19,Control,PURCHASE,BEE,1,3335
14,TrialProc,A1,F,25,Related,RUN,JOG,1,2196
14,TrialProc,B2,F,91,Unrelated,QUIT,HEAT,1,2957
14,TrialProc,A2,H,14,Unrelated,BOOT,SOUL,1,9041
14,TrialProc,A2,F,41,Related,MONKEY,APE,1,1926
14,TrialProc,B2,F,97,Unrelated,BUILD,SPORT,1,2238
14,TrialProc,B1,PB,18,Unrelated,BAT,BACK,1,4294
14,TrialProc,B1,F,86,Related,SCISSORS,CUT,1,2129
14,TrialProc,A2,F,38,Related,HOSPITAL,DOCTOR,1,1997
14,TrialProc,B1,PB,11,Control,FOND,DUCK,1,4069
14,TrialProc,A1,F,23,Related,RAZOR,SHAVE,0,10865
14,TrialProc,A1,F,16,Related,KITTEN,PUPPY,1,9509
14,TrialProc,B1,PB,1,Control,LUNCH,HIT,1,1969
14,TrialProc,B2,F,117,Unrelated,FALL,TOMORROW,1,3425
14,TrialProc,B2,F,106,Unrelated,PLAY,FAR,1,5419
14,TrialProc,A1,H,17,Unrelated,MINOR,COAL,1,5909
14,TrialProc,A2,F,55,Related,UGLY,BEAUTIFUL,1,2261
14,TrialProc,A2,F,56,Related,LARGE,HUGE,1,1970
14,TrialProc,B1,H,15,Unrelated,STEAL,METAL,1,5634
14,TrialProc,A2,F,54,Related,SOFA,CHAIR,1,4293
14,TrialProc,B2,F,107,Related,PACKAGE,PARCEL,1,5198
14,TrialProc,A1,H,7,Control,MALL,GENDER,1,12598
14,TrialProc,B1,F,81,Related,OWE,DEBT,1,12484
14,TrialProc,A2,F,47,Related,SELECT,CHOOSE,1,1681
14,TrialProc,B1,H,10,Unrelated,PIECE,WAR,1,4757
14,TrialProc,A2,F,37,Related,GOLD,SILVER,1,2364
14,TrialProc,A1,F,18,Related,"NATION",STATE,1,1626
14,TrialProc,A2,LR,8,Unrelated,BANK,LIVER,1,6335
14,TrialProc,B2,F,108,Unrelated,CHICKEN,FUTURE,1,5257
14,TrialProc,A1,F,10,Related,FINGER,HAND,1,1503
14,TrialProc,A1,PB,15,Control,DULL,COW,1,7267
14,TrialProc,B1,F,77,Unrelated,LAUGH,ANY,1,1821
14,TrialProc,A1,F,20,Related,OVEN,STOVE,1,4624
14,TrialProc,B1,LR,18,Control,CHORD,SKY,1,8630
14,TrialProc,B1,F,84,Unrelated,READ,FIND,1,10119
14,TrialProc,A2,F,31,Related,MUTE,DEAF,1,5725
14,TrialProc,B1,PB,18,Control,FAT,BACK,1,8550
14,TrialProc,B2,F,118,Related,WEATHER,CLIMATE,1,3110
14,TrialProc,B2,F,103,Unrelated,WHILE,FATHER,1,7908
14,TrialProc,B1,H,16,Unrelated,WEAK,MONTH,1,2048
14,TrialProc,A2,F,49,Related,PLATE,DISH,1,12785
14,TrialProc,A1,F,21,Related,PICTURE,PAINTING,1,3350
14,TrialProc,B1,H,15,Control,STEAM,METAL,1,22166
14,TrialProc,A2,F,44,Related,ADULT,CHILD,1,1173
14,TrialProc,A1,F,13,Related,HAPPY,GLAD,1,1593
14,TrialProc,A2,PB,17,Control,SHOWER,MATH,1,1832
14,TrialProc,A1,F,1,Related,ADD,MULTIPLY,1,2055
14,TrialProc,B1,F,87,Related,SIGN,SYMBOL,1,23003
14,TrialProc,A1,LR,14,Unrelated,ELECT,UPRIGHT,0,11460
14,TrialProc,B2,F,93,Related,PRIZE,AWARD,1,7269
14,TrialProc,A2,F,35,Related,EAST,WEST,1,3124
14,TrialProc,A1,H,17,Control,MIRROR,COAL,1,8242
14,TrialProc,A1,F,15,Related,KING,PRINCE,1,3388
14,TrialProc,B2,F,98,Related,GUN,WEAPON,1,3289
14,TrialProc,B1,LR,11,Control,SACK,MISSING,1,5713
14,TrialProc,B2,F,105,Related,"NAVY",ARMY,1,1785
14,TrialProc,B1,F,80,Unrelated,OFFICE,FOREST,1,2622
14,TrialProc,B2,PB,16,Unrelated,HAMSTER,BET,1,4820
14,TrialProc,A2,F,42,Related,ACTOR,FILM,1,1644
14,TrialProc,A1,F,23,Related,RAZOR,SHARP,1,12716
14,TrialProc,A2,H,14,Control,BOOT,SOUP,1,3855
14,TrialProc,B1,F,88,Unrelated,TEA,TRICK,1,6029
14,TrialProc,A2,F,48,Related,SHEET,BLANKET,1,4203
14,TrialProc,B2,H,19,Unrelated,PURCHASE,BYE,1,2179
14,TrialProc,B2,F,117,Related,TODAY,TOMORROW,1,1660
14,TrialProc,B2,F,91,Related,BOILER,HEAT,1,8003
14,TrialProc,A2,LR,3,Control,COOKED,SAW,1,3981
14,TrialProc,A1,F,29,Related,WANT,NEED,1,2765
14,TrialProc,A2,F,54,Related,TABLE,CHAIR,1,1387
14,TrialProc,B2,H,6,Unrelated,CURE,HEEL,0,2395
14,TrialProc,A1,F,6,Related,COMB,BRUSH,1,20606
14,TrialProc,B1,F,76,Related,INJURE,HURT,1,3795
14,TrialProc,A2,H,8,Unrelated,CHEAP,SAIL,1,8744
14,TrialProc,A1,F,26,Related,SCHOOL,COLLEGE,1,2827
14,TrialProc,B2,F,97,Related,FOOTBALL,SPORT,1,3991
14,TrialProc,B1,PB,11,Unrelated,BOND,DUCK,1,3197
14,TrialProc,A1,F,27,Related,START,BEGIN,1,1544
14,TrialProc,B1,F,75,Unrelated,HOUSE,EASY,1,2015
14,TrialProc,B2,LR,1,Control,STAMPS,CONNECT,1,3709
14,TrialProc,A1,F,28,Related,SWEET,SOUR,1,1688
14,TrialProc,B1,F,72,Unrelated,HATE,METRE,1,2891
14,TrialProc,B1,H,12,Control,FOLDER,BAKE,1,5507
14,TrialProc,B1,F,83,Unrelated,QUESTION,GREEN,1,1663
14,TrialProc,A2,F,41,Related,GORILLA,APE,1,5686
14,TrialProc,B2,LR,16,Unrelated,KNEE,RAP,0,8296
14,TrialProc,B2,F,116,Related,TALK,SPEAK,1,4906
14,TrialProc,B1,F,85,Unrelated,RUG,HOPE,1,5649
14,TrialProc,B2,PB,20,Control,EQUAL,DEER,1,7334
14,TrialProc,A2,F,53,Related,SKI,SNOW,1,3553
14,TrialProc,B2,F,115,Unrelated,UNDER,LEARN,1,2668
14,TrialProc,A1,LR,15,Unrelated,LONG,MISTAKE,1,4688
14,TrialProc,A2,F,57,Related,CITY,TOWN,1,1363
14,TrialProc,A2,F,38,Related,NURSE,DOCTOR,1,2211
14,TrialProc,A2,PB,6,Control,PAW,FEAR,1,8711
14,TrialProc,A1,F,16,Related,KITTEN,CAT,1,2089
14,TrialProc,B1,F,70,Related,FLOAT,SINK,1,6322
14,TrialProc,B2,H,5,Control,DAUGHTER,SIN,1,2894
14,TrialProc,A2,F,36,Related,ELBOW,ARM,1,6644
14,TrialProc,A2,F,50,Related,TUNA,FISH,1,3298
14,TrialProc,A1,LR,5,Control,SOCK,HARD,1,9923
14,TrialProc,A2,F,60,Related,WINTER,SUMMER,1,1160
14,TrialProc,B1,F,64,Related,CHANCE,LUCK,1,6306
14,TrialProc,B2,LR,9,Unrelated,MANY,ROT,1,1558
14,TrialProc,A2,F,46,Related,GUITAR,INSTRUMENT,1,2476
14,TrialProc,B1,F,68,Unrelated,CRY,GRASS,1,6519
14,TrialProc,A2,PB,7,Control,SAND,REACH,1,2295
14,TrialProc,A1,F,24,Related,RICH,POOR,1,1347
14,TrialProc,A1,F,17,Related,LOUD,SOFT,0,4752
14,TrialProc,A1,H,2,Control,TELL,SHOP,1,13323
14,TrialProc,B1,F,67,Unrelated,COUGH,WALL,1,10981
14,TrialProc,A1,F,5,Related,CLOTHES,DRESS,1,2290
14,TrialProc,B1,LR,4,Control,TIGHT,DARK,1,9567
14,TrialProc,A1,F,19,Related,OLD,AGE,1,2108
14,TrialProc,A1,F,12,Related,HAMMER,"NAIL",1,3806
14,TrialProc,A1,PB,4,Unrelated,PILL,WAITER,1,8239
14,TrialProc,A1,F,2,Related,BRAIN,THINK,1,6166
14,TrialProc,A2,F,39,Related,ICE,COLD,1,2107
14,TrialProc,B2,PB,2,Unrelated,PETROL,BUMP,1,18490
14,TrialProc,B2,F,112,Unrelated,COPY,CIGARETTE,1,2032
14,TrialProc,B1,F,79,Unrelated,LION,MILK,1,9202
14,TrialProc,A2,H,13,Unrelated,PRODUCED,MAID,1,2776
14,TrialProc,B2,F,102,Related,MIDDLE,CENTRE,1,2665
14,TrialProc,B2,F,92,Related,CHESS,GAME,1,2524
14,TrialProc,B2,H,3,Control,BEEF,MELT,1,3583
14,TrialProc,B2,F,120,Unrelated,SHUT,GLOBE,1,7089
14,TrialProc,A1,F,30,Related,WET,DAMP,0,32981
14,TrialProc,A2,H,4,Control,LOOK,SET,1,4291
14,TrialProc,B1,F,65,Related,CLOCK,TIME,1,9178
14,TrialProc,B1,F,71,Unrelated,FOOL,INTO,1,8985
14,TrialProc,A1,PB,12,Unrelated,POUND,TIED,1,12010
14,TrialProc,B2,F,107,Unrelated,WILD,PARCEL,1,3029
14,TrialProc,A2,F,59,Related,WIDE,"NARROW",1,5677
14,TrialProc,B2,F,109,Related,PRICE,COST,1,2396
14,TrialProc,B1,F,69,Unrelated,CUP,WORSE,1,1798
14,TrialProc,A2,LR,7,Control,YELLOW,BED,1,1486
14,TrialProc,A1,F,7,Related,DRUG,MEDICINE,1,1968
14,TrialProc,B2,F,111,Unrelated,ALSO,DREAM,1,3118
14,TrialProc,A1,H,18,Unrelated,SIGHT,PLACE,1,22964
14,TrialProc,A2,F,55,Related,PRETTY,BEAUTIFUL,1,6944
14,TrialProc,B1,F,86,Unrelated,SCISSORS,WAIT,1,1437
14,TrialProc,B1,PB,1,Unrelated,BUNCH,HIT,1,4305
14,TrialProc,B1,F,90,Related,UP,DOWN,1,2052
14,TrialProc,A2,F,40,Related,ENTRANCE,EXIT,1,1898
14,TrialProc,A1,H,20,Unrelated,HEAR,THERE,1,4439
14,TrialProc,A2,F,52,Related,SICK,ILL,1,1840
14,TrialProc,B2,F,114,Related,STOP,PAUSE,1,3883
14,TrialProc,B2,H,1,Control,WHEEL,BREAD,1,4322
14,TrialProc,A2,F,56,Related,VAST,HUGE,1,3979
14,TrialProc,A1,F,4,Related,BUS,VEHICLE,1,3160
14,TrialProc,B1,H,9,Control,TALL,LEGEND,1,8453
14,TrialProc,B2,F,106,Related,NEAR,FAR,1,7954
14,TrialProc,B2,F,110,Related,RUSH,HURRY,1,5266
14,TrialProc,B1,LR,12,Unrelated,RAG,BEHIND,1,3591
14,TrialProc,B2,F,95,Unrelated,WISE,DIRT,1,4723
14,TrialProc,A1,F,8,Related,EAT,FOOD,1,1684
14,TrialProc,A1,H,7,Unrelated,MAIL,GENDER,1,2925
14,TrialProc,A2,F,34,Related,DENTIST,TEETH,1,3013
14,TrialProc,B1,F,63,Related,BLUE,COLOUR,1,1424
14,TrialProc,B1,LR,10,Unrelated,CRAP,APPLAUD,0,14030
14,TrialProc,B1,F,82,Related,PHONE,CALL,1,2286
14,TrialProc,A1,F,25,Related,RUN,WALK,1,5190
14,TrialProc,A1,PB,3,Control,WIN,LITTER,1,1892
14,TrialProc,B2,F,104,Unrelated,TRY,RAT,1,2415
