ppt_id,rt,logRT,idx,idx_c
chfyw971u6kw7ek,979,6.88653164253051,19,8
chfyw971u6kw7ek,870,6.76849321164863,20,9
chfyw971u6kw7ek,1368,7.221105098182496,21,10
ydhaddxvqz6qzy8,7079,8.86488793377419,1,-10
ydhaddxvqz6qzy8,2833,7.949091499830517,2,-9
ydhaddxvqz6qzy8,2555,7.845807502637805,3,-8
ydhaddxvqz6qzy8,3885,8.264878262801748,4,-7
ydhaddxvqz6qzy8,1293,7.164720378771857,5,-6
ydhaddxvqz6qzy8,4608,8.435549202375727,6,-5
ydhaddxvqz6qzy8,2689,7.896924656268864,7,-4
ydhaddxvqz6qzy8,1467,7.2909747781429814,8,-3
ydhaddxvqz6qzy8,614,6.419994928147142,9,-2
ydhaddxvqz6qzy8,551,6.311734809152915,10,-1
ydhaddxvqz6qzy8,8313,9.025575833531088,11,0
ydhaddxvqz6qzy8,1231,7.115582126184454,12,1
ydhaddxvqz6qzy8,12775,9.455245415071905,13,2
ydhaddxvqz6qzy8,587,6.375024819828097,14,3
ydhaddxvqz6qzy8,2901,7.972810784121404,15,4
ydhaddxvqz6qzy8,2605,7.865187954187467,16,5
ydhaddxvqz6qzy8,5700,8.648221453822641,17,6
ydhaddxvqz6qzy8,2031,7.616283561580385,18,7
ydhaddxvqz6qzy8,940,6.84587987526405,19,8
ydhaddxvqz6qzy8,705,6.558197802812269,20,9
ydhaddxvqz6qzy8,549,6.3080984415095305,21,10
uyv0tj74zrwd066,3666,8.20685642839965,1,-10
uyv0tj74zrwd066,1609,7.3833681469923835,2,-9
uyv0tj74zrwd066,932,6.837332814685591,3,-8
uyv0tj74zrwd066,1349,7.207118856207756,4,-7
uyv0tj74zrwd066,2414,7.789040401657477,5,-6
uyv0tj74zrwd066,1015,6.922643891475888,6,-5
uyv0tj74zrwd066,751,6.621405651764134,7,-4
uyv0tj74zrwd066,669,6.505784060128229,8,-3
uyv0tj74zrwd066,437,6.07993319509559,9,-2
uyv0tj74zrwd066,612,6.416732282512326,10,-1
uyv0tj74zrwd066,774,6.651571873589727,11,0
uyv0tj74zrwd066,910,6.813444599510896,12,1
uyv0tj74zrwd066,4313,8.369388996647842,13,2
uyv0tj74zrwd066,1360,7.215239978730097,14,3
uyv0tj74zrwd066,876,6.775366090936392,15,4
uyv0tj74zrwd066,859,6.755768921984255,16,5
uyv0tj74zrwd066,1037,6.9440872082295275,17,6
uyv0tj74zrwd066,3957,8.283241441385425,18,7
uyv0tj74zrwd066,3606,8.190354403763262,19,8
uyv0tj74zrwd066,433,6.07073772800249,20,9
uyv0tj74zrwd066,459,6.129050210060545,21,10
24l7ppajy991lc1,693,6.541029999189903,1,-10
24l7ppajy991lc1,814,6.70196036600254,2,-9
24l7ppajy991lc1,544,6.298949246855942,3,-8
24l7ppajy991lc1,624,6.436150368369428,4,-7
24l7ppajy991lc1,565,6.336825731146441,5,-6
24l7ppajy991lc1,1301,7.170888478512505,6,-5
24l7ppajy991lc1,426,6.054439346269371,7,-4
24l7ppajy991lc1,581,6.364750756851911,8,-3
24l7ppajy991lc1,722,6.582025138892826,9,-2
24l7ppajy991lc1,436,6.077642243349034,10,-1
24l7ppajy991lc1,366,5.902633333401366,11,0
24l7ppajy991lc1,482,6.1779441140506,12,1
24l7ppajy991lc1,1026,6.933423025730715,13,2
24l7ppajy991lc1,826,6.716594773520978,14,3
24l7ppajy991lc1,1466,7.290292882446597,15,4
24l7ppajy991lc1,415,6.028278520230698,16,5
24l7ppajy991lc1,384,5.950642552587727,17,6
24l7ppajy991lc1,509,6.2324480165505225,18,7
24l7ppajy991lc1,679,6.520621127558696,19,8
24l7ppajy991lc1,422,6.045005314036012,20,9
24l7ppajy991lc1,395,5.978885764901122,21,10
bf91casb62kgpkj,1443,7.274479558773871,1,-10
bf91casb62kgpkj,954,6.860663671448287,2,-9
bf91casb62kgpkj,887,6.787844982309579,3,-8
bf91casb62kgpkj,789,6.670766320845874,4,-7
bf91casb62kgpkj,1962,7.581719640125308,5,-6
bf91casb62kgpkj,915,6.818924065275521,6,-5
bf91casb62kgpkj,1669,7.419979923661835,7,-4
bf91casb62kgpkj,1180,7.07326971745971,8,-3
bf91casb62kgpkj,1327,7.190676034332207,9,-2
bf91casb62kgpkj,2661,7.886457270977689,10,-1
bf91casb62kgpkj,918,6.822197390620491,11,0
bf91casb62kgpkj,971,6.878326468291325,12,1
bf91casb62kgpkj,898,6.8001700683022,13,2
bf91casb62kgpkj,1418,7.257002707092073,14,3
bf91casb62kgpkj,850,6.745236349484363,15,4
bf91casb62kgpkj,494,6.202535517187923,16,5
bf91casb62kgpkj,2155,7.675546002537848,17,6
bf91casb62kgpkj,844,6.7381524945959574,18,7
bf91casb62kgpkj,2014,7.607878073278507,19,8
bf91casb62kgpkj,1186,7.078341579557671,20,9
bf91casb62kgpkj,893,6.794586580876499,21,10
mec1sm74s2dmnx8,11921,9.386056829718001,1,-10
mec1sm74s2dmnx8,1409,7.25063551189868,2,-9
mec1sm74s2dmnx8,791,6.673297967767654,3,-8
mec1sm74s2dmnx8,912,6.815639990074331,4,-7
mec1sm74s2dmnx8,764,6.638567789166521,5,-6
mec1sm74s2dmnx8,780,6.659293919683638,6,-5
mec1sm74s2dmnx8,10610,9.26955223160803,7,-4
mec1sm74s2dmnx8,2921,7.979681302387741,8,-3
mec1sm74s2dmnx8,2132,7.664815785285735,9,-2
mec1sm74s2dmnx8,1002,6.90975328164481,10,-1
mec1sm74s2dmnx8,708,6.56244409369372,11,0
mec1sm74s2dmnx8,1146,7.044032897274685,12,1
mec1sm74s2dmnx8,2013,7.607381425639791,13,2
mec1sm74s2dmnx8,423,6.0473721790462776,14,3
mec1sm74s2dmnx8,6235,8.737933858114136,15,4
mec1sm74s2dmnx8,3816,8.246958032568177,16,5
mec1sm74s2dmnx8,844,6.7381524945959574,17,6
mec1sm74s2dmnx8,998,6.905753276311464,18,7
mec1sm74s2dmnx8,4545,8.421783006611578,19,8
mec1sm74s2dmnx8,2724,7.909856667269403,20,9
mec1sm74s2dmnx8,650,6.476972362889683,21,10
n4oy2hxzz7w3qn4,1923,7.56164174558878,1,-10
n4oy2hxzz7w3qn4,2473,7.813187267521416,2,-9
n4oy2hxzz7w3qn4,2192,7.692569648067906,3,-8
n4oy2hxzz7w3qn4,1291,7.1631723908466425,4,-7
